"Region","Coal mining and production","Oil and gas extraction and refining","Thermal power","Hydropower","Nuclear power","Total employment","Percentage of regional total"
"Beijing",33661,28561,9888,566,0,72677,0.010937457673542239
"Tianjin",7710,64322,7089,0,0,79121,0.01190724147375835
"Hebei",256993,70235,46148,2286,0,375662,0.05653490409012789
"Shanxi",763829,118411,47115,2004,0,931360,0.1401641589337796
"Inner Mongolia",146188,11284,34894,720,0,193086,0.029058298393626274
"Liaoning",208894,131569,46257,4519,0,391239,0.05887915025027164
"Jilin",97936,48576,20707,5225,0,172444,0.025951799758607508
"Heilongjiang",296720,120379,88784,2464,0,508347,0.07650321003855658
"Shanghai",10397,24808,10677,0,0,45882,0.006904969013270567
"Jiangsu",127781,30082,48281,333,487,206965,0.03114700561944865
"Zhejiang",9936,12434,32060,9440,775,64646,0.009728839781001026
"Anhui",268533,8161,25570,3215,0,305479,0.045972778632249675
"Fujian",34111,3348,8621,25557,0,71637,0.010780943838622197
"Jiangxi",81790,8148,11061,15557,0,116556,0.017540987060519687
"Shandong",501384,143863,80058,29,0,725334,0.10915846724797511
"Henan",506251,102000,81583,7357,0,697191,0.10492311257859553
"Hubei",25744,18945,20388,26492,0,91570,0.013780742176565665
"Hunan",150933,21550,14798,31359,0,218640,0.03290402391049817
"Guangdong",17129,29002,39629,30159,930,116850,0.017585232317699005
"Guangxi",21479,2193,7228,21495,0,52395,0.007885136904457333
"Hainan",704,168,2140,3801,0,6813,0.0010253161127983168
"Chongqing",90003,2223,4868,10545,0,107640,0.016199181914224398
"Sichuan",196691,69712,19653,49695,0,335751,0.05052853518099922
"Guizhou",105110,3184,12738,13262,0,134294,0.020210450910338643
"Yunnan",46960,4033,14478,19201,0,84672,0.012742634067644075
"Tibet",0,0,0,2545,0,2545,0.0003830074133379886
"Shaanxi",112091,0,31196,0,0,143287,0.021563844100180894
"Gansu",71381,39409,14580,8212,0,133582,0.020103299131047227
"Qinghai",6753,11045,1473,5074,0,24345,0.003663778183777341
"Ningxia",57410,6446,9244,1081,0,74182,0.011163951251960185
"Xinjiang",44452,93359,14971,7808,0,160590,0.0241678430286631
"Total",4298954,1227450,806177,310001,2192,6644782,1.0000003009881442
