Region,"Enterprise (Culture, Education, and Sport)","Output (Culture, Education, and Sports)","Employee (Culture, Education, and Sports)","Enterprise (Fur, Feather, Leather)","Output (Fur, Feather, Leather)","Employee (Fur, Feather, Leather)","Enterprise (Communication, Computer, and Electronics)","Output (Communication, Computer, and Electronics)","Employee (Communication, Computer, and Electronics)",Enterprise (Apparel),Output (Apparel),Employee (Apparel),Enterprise (Furniture),Output (Furniture),Employee (Furniture),Enterprise (Electrical Machinery),Output (Electrical Machinery),Employee (Electrical Machinery),Enterprise (Tobacco),Output (Electrical Machinery),Employee (Electrical Machinery),Enterprise (Artistic and Miscellaneous Products),Output (Artistic and Miscellaneous Products),Employee (Artistic and Miscellaneous Products),Enterprise (Plastic Products),Output (Plastic Products),Employee (Plastics Products),Enterprise (Chemical Fibers),Output (Chemical Fibers),Employee (Chemical Fibers),Enterprise (Instruments and Office Machines),Output (Instruments and Office Machines),Employee (Instruments and Office Machines),Enterprise (Metal Products),Output (Metal Products),Employee (Metal Products),Enterprise (Textile),Output (Textile),Employee (Textile),Enterprise (Rubber),Output (Rubber),Employee (Rubber),Enterprise (General Machinery),Output (General Machinery),Employee (General Machinery),Enterprise (Paper),Output (Paper),Employee (Paper),Enterprise (Wood Product),Output (Wood Product),Employee (Wood Product),Enterprise (Petroleum Processing),Output (Petroleum Processing),Employee (Petroleum Processing),Enterprise (Food Processing),Output (Food Processing),Employee (Food Processing),Enterprise (Transport Equipment),Output (Transport Equipment),Employee (Transport Equipment),Enterprise (Mineral Products),Output (Mineral Products),Employee (Mineral Products),Enterprise (Ferrous Metallurgy),Output (Ferrous Metallurgy),Employee (Ferrous Metallurgy),Enterprise (Medical Products),Output (Medical Products),Employee (Medical Products)
Beijing,54,12.44,0.88,46,7.16,0.47,498,1235.58,10.02,285,75.27,7.83,111,23.12,1.49,417,197.53,4.74,4,14.79,0.09,111,23.55,1.28,265,52.64,2.25,14,2.42,0.08,347,124.38,3.00,439,105.34,4.28,181,59.42,3.94,42,18.17,0.91,483,186.70,6.39,131,35.48,1.19,43,12.00,0.44,56,274.57,1.28,254,118.67,2.67,399,748.92,10.96,492,184.46,7.67,10,10.05,0.31,196,119.72,3.49
Tianjin,60,27.42,1.35,79,32.35,1.89,333,1368.10,12.40,251,61.03,7.30,73,36.48,1.82,395,312.64,6.23,1,9.28,0.17,172,36.35,2.92,287,105.53,4.18,18,5.24,0.25,153,55.33,1.71,520,204.50,7.14,329,73.20,7.21,112,53.85,2.49,514,214.11,6.52,169,46.28,1.93,76,17.75,0.62,46,257.95,1.26,186,130.36,2.19,461,436.55,10.54,238,78.47,2.76,,,,112,117.84,3.53
Hebei,39,6.94,0.66,289,171.60,5.26,73,57.13,2.16,216,90.91,8.07,81,28.74,1.35,345,203.36,5.91,4,45.59,0.67,86,24.58,2.09,301,121.12,4.79,22,34.86,1.28,51,14.12,1.03,511,194.95,9.22,600,347.87,21.69,195,63.08,3.46,647,214.72,14.27,305,131.66,6.59,96,48.26,1.76,95,364.62,3.63,576,413.91,7.48,296,281.11,9.72,1038,392.35,25.82,419,226.32,8.47,148,171.98,6.77
Shanxi,15,4.63,0.42,8,0.14,0.02,29,10.65,0.92,19,4.10,0.75,8,0.58,0.06,77,31.59,2.48,2,11.02,0.16,21,3.29,0.34,47,8.14,0.64,6,3.71,0.15,19,4.75,0.24,121,25.65,2.98,73,27.84,4.52,28,13.27,0.77,279,102.83,8.74,35,6.12,0.62,8,0.58,0.06,400,495.44,15.61,180,43.41,2.04,86,49.85,3.85,421,100.65,12.77,142,46.52,2.07,92,42.66,2.54
Inner Mongolia,0,0.00,,11,3.09,0.16,16,49.63,0.43,26,7.53,1.03,11,2.14,0.15,27,8.11,0.60,2,14.63,0.25,11,4.90,0.57,24,4.21,0.26,2,0.79,0.10,1,0.07,0.01,34,9.56,0.68,125,108.65,5.79,1,0.15,0.01,52,13.41,1.68,27,13.44,1.04,34,9.03,0.82,72,66.24,1.57,271,140.82,4.26,19,35.69,0.70,200,72.61,4.66,66,25.80,1.60,48,32.39,1.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liaoning,39,11.69,0.75,79,61.02,1.96,217,396.11,6.81,340,80.80,9.24,113,42.80,1.75,589,286.07,9.46,6,27.99,0.30,83,24.79,2.13,361,128.62,4.28,33,53.28,3.18,157,41.83,2.16,449,155.59,6.02,374,123.44,9.66,129,79.49,3.61,1284,459.81,19.41,204,42.27,3.16,218,50.15,2.52,184,1329.11,5.48,750,381.74,9.24,527,681.64,19.03,838,267.57,16.44,262,63.41,4.35,169,84.70,3.27
Jilin,5,0.44,0.06,10,1.86,0.10,33,21.82,1.17,46,8.99,1.07,30,6.47,0.58,84,19.67,1.39,7,30.13,0.41,15,3.39,0.20,96,20.57,1.06,9,31.07,1.07,31,7.77,0.75,75,14.59,0.83,73,30.92,2.91,25,10.08,0.45,161,32.53,2.76,66,21.14,1.21,151,56.78,7.58,26,46.21,0.75,281,216.26,4.96,420,1328.05,18.26,257,82.98,5.56,28,14.62,1.02,204,117.87,4.14
Heilongjiang,8,1.56,0.20,10,1.62,0.11,30,16.05,0.45,14,2.28,0.25,54,18.24,1.44,126,69.22,3.39,5,24.16,0.61,16,5.19,0.78,93,22.78,1.67,6,17.95,0.42,30,10.13,1.22,95,40.97,2.67,92,35.28,5.08,26,11.64,0.89,221,182.40,8.23,84,40.32,3.04,156,34.25,3.49,75,538.80,4.54,363,225.36,6.14,185,211.36,6.24,236,60.35,5.53,6,2.90,0.20,96,94.39,4.17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
