District,Number of Employees(10000 persons)
Beijing,502.83
Tianjin,193.91
Hebei province,494.11
Xinji City,2.93
Gaocheng City,2.8
Jinzhou City,2.32
Xinle City,1.66
Luquan City,2.64
Zunhua City,2.73
Qian'an City,4
Wu'an City,3.05
Nangong City,1.47
Shahe City,2.38
Zhuozhou City,4.55
Dingzhou City,3.56
Anguo City,1.47
Gaobeidian City,3.8
Botou City,3.1
Renqiu City,2.52
Huanghua City,2.84
Hejian City,2.72
Bazhou City,2.09
Sanhe City,3.07
Jizhou City,1.79
Shenzhou City,1.97
Shanxi province,361.97
Gujiao City,1.1
Lucheng City,1.76
Gaoping City,2.68
Jiexiu City,6.62
Yongji City,2.96
Hejin City,3.74
Yuanping County,4.24
Houma City,3.35
Huozhou City,4.37
Xiaoyi City,2.55
Fenyang City,2.75
Inner Mongolia province,243.07
Huolin'guole City,1.3
Manzhouli City,3.09
Yakeshi City,2.62
Zhalantun City,2.26
Ergu'na City,1.49
Genhe City,0.78
Fengzhen City,1.42
Ulanhot City,10.74
Aershan City,0.54
Erenhot City,0.48
Xilinhot City,3.87
Liaoning province,502.62
Xinmin City,2.28
Wafangdian City,2.68
Pulandian City,5.07
Zhuanghe City,3.38
Haicheng City,3.86
Donggang City,2.71
Fengcheng City,2.48
Linghai City,2.16
Beining City,1.5
Gaizhou City,1.57
Dashiqiao City,2.25
Dengta City,1.75
Tiefa City,1.92
Kaiyuan City,2.23
Beipiao City,2.12
Lingyuan City,3.01
Xingcheng City,1.7
Jilin province,284.76
Jiutai City,4.53
Yushu City,4.77
Dehui City,5.63
Jiaohe City,2.68
Huadian City,3.33
Shulan City,4.57
Panshi City,3.71
Gongzhuling City,5.83
Shuangliao City,2.55
Meihekou City,3.43
Ji'an City,1.79
Linjiang City,2.01
Taonan City,2.62
Daan City,2.86
Yanji City,7.79
Tumen City,2.74
Dunhua City,5.89
Huichun City,2.58
Longjing City,1.89
Helong City,2.45
Heilongjiang province,506.2
Acheng City,6.27
Shuangcheng City,2.34
Shangzhi City,4.97
Wuchang City,4.83
Nahe City,2.59
Hulin City,2.67
Mishan City,2.16
Tieli City,4.18
Tongjiang City,0.77
Fujin City,2.2
Suifenhe City,1.18
Hailin City,4.34
Ning'an City,3.42
Muleng City,3.1
Beian City,3.14
Wudalianchi City,2.85
Anda City,2.36
Zhaodong City,4.16
Hailun City,2.98
Shanghai,331.15
Jiangsu province,606.85
Jiangyin City,9.33
Yixing City,5.71
Xinyi City,5.16
Pizhou City,5.34
Liyang City,5.32
Jintan City,4.42
Changshu City,10
Zhangjiagang City,9.38
Kunshan City,14.88
Wujiang City,7.92
Taicang City,7.97
Qidong City,5.59
Rugao City,5.09
Tongzhou City,5.58
Haimen City,5.66
Dongtai City,5.63
Dafeng City,5.02
Yizheng City,5.66
Gaoyou City,3.5
Jiangdu City,5.32
Danyang City,5.85
Yangzhong City,3.06
Jurong City,3.81
Xinghua City,5.12
Jingjiang City,5.59
Taixing City,6.53
Jiangyan City,5.33
Zhejiang province,456.57
Jiande City,2.43
Fuyang City,3.45
Lin'an City,3.05
Yuyao City,4.66
Cixi City,4.65
Fenghua City,2.85
Ruian City,8.44
Leqing City,4.23
Haining City,4.28
Pinghu City,7.36
Tongxiang City,9.37
Zhuji City,18.97
Shangyu City,4.93
Shengzhou City,4.43
Lanxi City,4.06
Yiwu City,4.34
Dongyang City,10.52
Yongkang City,2.68
Jiangshan City,2.36
Wenling City,6.26
Linhai City,6.15
Longquan City,1.45
Anhui province,341.44
Tongcheng City,2.2
Tianchang City,3.1
Mingguang City,2.4
Jieshou City,2.6
Ningguo City,3.22
Fujian province,377.68
Fuqing City,14.17
Changle City,4.26
Yongan City,3.37
Shishi City,6
Jinjiang City,25.3
Nan'an City,8.16
Longhai City,6.61
Shaowu City,3
Wuyishan City,1.8
Jian'ou City,1.93
Jianyang City,1.9
Zhangping City,1.83
Fuan City,3.13
Fuding City,1.84
Jiangxi province,271.35
Leping City,4.49
Ruichang City,2.51
Guixi City,4.41
Ruijin City,1.95
Nankang City,1.83
Jinggangshan City,1.54
Fengcheng City,5.22
Zhangshu City,2.77
Gaoan City,2.84
Dexing City,2.13
Shandong province,792.12
Zhangqiu City,7.63
Jiaozhou City,14.03
Jimo City,12.36
Pingdu City,7.02
Jiaonan City,8.27
Laixi City,8.73
Tengzhou City,13.09
Longkou City,6.54
Laiyang City,5.24
Laizhou City,6.18
Penglai City,4.05
Zhaoyuan City,6.31
Qixia City,3.5
Haiyang City,3.08
Qingzhou City,4.81
Zhucheng City,6.5
Shouguang City,6.85
Anqiu City,4.92
Gaomi City,6.19
Changyi City,3.21
Qufu City,4.78
Yanzhou City,4.27
Zoucheng City,15.59
Xintai City,12.27
Feicheng City,9.42
Wendeng City,6.34
Rongcheng City,6.45
Rushan City,4.92
Leling City,2.3
Yucheng City,24.72
Linqing City,4.05
He'nang province,695.91
Gongyi City,5.67
Xingyang City,4.6
Xinmi City,4.1
Xinzheng City,3.82
Dengfeng City,3.85
Yanshi City,3.39
Wugang City,3.66
Ruzhou City,4.28
Linzhou City,6.59
Weihui City,4.91
Huixian City,3.83
Jiyuan City,6.91
Qinyang City,2.61
Mengzhou City,2.19
Yuzhou City,5.43
Changge City,4.31
Yima City,5.36
Lingbao City,4.77
Dengzhou City,6.09
Yongcheng City,6.31
Xiangcheng City,5.67
Hubei province,509.91
Daye County,6.77
Danjiangkou City,4.09
Yidu City,19.8
Dangyang City,4.09
Zhijiang City,3.13
Laohekou City,5.06
Zaoyang City,4.94
Yicheng City,2.8
Zhongxiang City,5.24
Yingcheng City,6.5
Anlu City,3.99
Hanchuan City,7.27
Shishou City,3.77
Honghu City,6.83
Songzi City,3.54
Macheng City,4.06
Wuxue City,3.69
Chibi City,4.5
Guangshui City,3.9
Enshi City,3.8
Lichuan City,2.46
Xiantao City,8.34
Qianjiang City,14.36
Tianmen City,4.98
Hu'nan province,393.58
Liuyang City,3.47
Liling City,3.07
Xiangxiang City,3.74
Shaoshan City,0.49
Leiyang City,4.66
Changning City,3.97
Wugang City,2.51
Miluo City,5.95
Linxiang City,2.06
Jinshi City,1.61
Yuanjiang City,3.31
Zixing City,3.61
Hongjiang City,1.51
Lengshuijiang City,5.7
Lianyuan City,4.41
Jishou City,3.43
Guangdong province,830.72
Zengcheng City,9.19
Conghua City,4.02
Lechang City,3.36
Nanxiong City,1.78
Taishan City,4.6
Kaiping City,6.15
Heshan City,3.98
Enping City,2.99
Lianjiang City,4.88
Leizhou City,6.11
Wuchuan City,3.37
Gaozhou City,5.54
Huazhou City,5.72
Xinyi City,3.24
Gaoyao City,2.19
Sihui City,4.23
Xingning City,3.9
Lufeng City,4.13
Yangchun City,5.35
Yingde City,3.38
Lianzhou City,1.98
Puning City,5.08
Luoding City,4.64
Guangxi province,276.2
Cenxi City,2.46
Dongxing City,0.65
Guiping City,3.5
Beiliu City,5.05
Yizhou City,2.8
Heshan City,1.08
Pingxiang City,0.84
Hainan province,74.58
Wuzhishan City,1.29
Qionghai City,3.73
Danzhou City,8.17
Wenchang City,21.7
Wanning City,4.88
Dongfang City,2.6
Chongqing,213.6
Jiangjin City,9.93
Hechuan City,6.12
Yongchuan City,6.11
Nanchuan City,3.06
Sichuan province,500.14
Dujiangyan City,5.01
Pengzhou City,4.84
Qionglai City,2.65
Chongzhou City,2.76
Guanghan City,2.49
Shifang City,3.18
Mianzhu City,3.63
Jiangyou City,4.78
Emeishan City,3.35
Langzhong City,2.14
Huaying City,1.62
Wanyuan City,1.9
Jianyang City,4.11
Xichang City,6.59
Guizhou province,202.5
Qingzhen City,4.01
Chishui City,1.94
Renhuai City,6.93
Tongren City,3.95
Xingyi City,5.3
Bijie City,5.12
Kaili City,4.54
Duyun City,9.22
Fuquan City,1.82
Yunnan province,245.95
Anning City,5.59
Xuanwei City,4.12
Chuxiong City,4.08
Gejiu City,5.96
Kaiyuan City,3.28
Jinghong City,5.2
Dali City,8.64
Ruili City,1.62
Luxi City,2.86
Tibet province,17.49
Xigaze City,0.35
Shaanxi province,331.58
Xingping City,4.72
Hancheng City,4.21
Huayin City,2.26
Gansu province,193.64
Yumen City,3.63
Dunhuang City,1.18
Linxia City,3.26
Hezuo City,1.2
Qinghai province,42.52
Golmud City,1.88
Delingha City,1.02
Ningxia province,60.41
Lingwu City,1.76
Qingtongxia City,3.25
Xinjiang province,243.51
Turpan City,2.46
Hami City,7.64
Changji City,4.47
Fukang City,1.35
Miquan City,1.56
Bole County,1.39
Korla City,7.66
Akesu City,3.43
Atushi City,2.04
Kashi City,4.89
Hotan City,1.95
Yining City,5.57
Kuytun City,1.32
Tacheng City,2.46
Usu City,2.97
Altay City,3.2
Shihezi City,7.41
Alaer City,4.66
Tumushuke City,2.25
Wujiaqu City,1.82
