District,Total Population at year-end(10000 persons),Land Area(10000 sq.km),Land Area(Completed Construction Area)(sq.km),Gross Domestic Product(100 million yuan)
Beijing,"1,333.40",1.6411,"1,385.58","21,330.83"
Tianjin,"1,016.66",1.1917,797.1,"15,726.93"
Districts under Bazhong City,137.7,0.256,30,158.76
Hebei province,"7,592.74",,"1,833.17","29,421.15"
Districts under Guigang City,197.4,0.3548,69,354.96
Shijiazhuang City,"1,024.90",1.3109,,"5,170.27"
Districts under Bozhou City,167.1,0.2263,54,293.38
Tangshan City,753.2,1.3472,,"6,225.30"
Districts under Dingxi City,45.9,0.3646,23,65.78
Qinhuangdao City,295.1,0.7802,,"1,200.02"
Districts under Fuyang City,224,0.1924,112,420.41
Handan City,"1,029.50",1.2065,,"3,080.01"
Districts under Longnan City,56.3,0.4683,14,84.9
Xingtai City,772.9,1.2433,,"1,646.94"
Districts under Liuan City,189.1,0.3577,72,353.95
Baoding City,"1,196.60",2.2185,,"3,035.20"
Districts under Heihe City,21.5,1.4444,19,28.98
Zhangjiakou City,468.6,3.6873,,"1,348.97"
Districts under Suihua City,84.3,0.2756,35,143.18
Chengde City,380.7,3.949,,"1,342.55"
Districts under Shangqiu City,180.5,0.1697,63,351.59
Cangzhou City,768.4,1.4035,,"3,133.38"
Districts under Yichun City,113.5,0.2532,68,209.84
Langfang City,450.4,0.6382,,"2,175.96"
Districts under Hezhou City,117.1,0.5517,24,238.44
Hengshui City,452.6,0.8815,,"1,149.13"
Districts under Jixi City,84.5,0.23,79,164.11
Shanxi province,"3,522.18",,"1,097.36","12,761.49"
Districts under Suining City,152.3,0.1876,78,326.27
Taiyuan City,369.7,0.6988,,"2,531.09"
Districts under Guang'an City,127.3,0.1534,48,270.27
Datong City,339.2,1.4176,,"1,001.73"
Districts under Ankang City,102.6,0.3646,40,210.39
Yangquan City,133.2,0.457,,616.62
Districts under Baoshan City,92.6,0.5011,31,190.02
Changzhi City,339.2,1.3896,,"1,331.14"
